,Date,Price,MarketCap,ActiveAddress,RiskFree,Asset,Return,week2_return,Npast52_return,GrowthRate,lagCap,ExcessReturn,MKT,SMB,VAL,MOM,NET
0,2021-05-31,35797.42238993168,670437842310.9738,4893673.0,0.0001,BTC,0.004417536961087127,-0.23200174914448704,2.6517514824060218,0.004335501501518735,667264652285.6185,0.004317536961087127,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
1,2021-05-31,2710.1428884904203,314881733586.94305,2514621.0,0.0001,ETH,0.13464439380038895,-0.33324379935654336,8.748481663616145,-0.031170038004175282,277290419778.90466,0.13454439380038896,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
2,2021-05-31,176.432528947312,11965801875.449694,1171397.0,0.0001,LTC,0.032218731788378606,-0.4235105884037724,2.6632615810417506,-0.10048760410229107,11583996748.634695,0.0321187317883786,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
3,2021-05-31,365.16745985380317,4669537784.359329,7849.0,0.0001,AAVE,0.12607861947536605,-0.3826682511177052,,-0.09461095098406247,4141262118.723788,0.12597861947536607,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
4,2021-05-31,0.13006608531366,12818572.69942619,59.0,0.0001,ABT,-0.039411478119448555,-0.2860970491084221,0.2810179181996694,-0.31471074483970085,13344499.135104356,-0.03951147811944856,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
5,2021-05-31,0.86676336197085,176329859.09461707,9523.0,0.0001,AMPL,0.0768816946569276,-0.05839626667705596,-0.2024657239562656,-0.21491449323381495,190488038.02858225,0.0767816946569276,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
6,2021-05-31,5.58418537575284,113319651.00767618,133.0,0.0001,ANT,0.3452433966211108,-0.4605894337285562,2.680615396529808,0.2691286645560327,82210742.89197661,0.3451433966211108,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
7,2021-05-31,15.32219117515528,145283047.2595362,1856.0,0.0001,BADGER,0.30294394458658486,-0.5506557887404935,,0.05768950356466451,108168035.12799993,0.30284394458658487,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
8,2021-05-31,29.12216231419936,202219373.46436927,2787.0,0.0001,BAL,0.05468455039755048,-0.4898190150368641,,-0.09541281935143253,191734460.68603653,0.054584550397550474,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
9,2021-05-31,8.05803311511405,165141592.68824756,1258.0,0.0001,BAND,0.09026515547079045,-0.4733801976223236,3.675502164036206,0.01402547535450438,151469201.65208554,0.09016515547079045,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
10,2021-05-31,0.76129547838979,1139017546.363587,9909.0,0.0001,BAT,0.08260929771286636,-0.3826278557017132,1.992819580130456,0.14598614625242767,1051984268.6255375,0.08250929771286636,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
11,2021-05-31,4.47240413781727,904112645.8767389,2170.0,0.0001,BNT,0.03950741063950008,-0.35700972931803054,4.798585080716818,0.06731512701390585,860601659.9976362,0.039407410639500075,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
12,2021-05-31,30.89312876394376,5975209367.394926,239.0,0.0001,BOND,0.14620065333499682,-0.3704551716416169,,-0.2539882266653075,5211506461.132921,0.14610065333499683,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
13,2021-05-31,0.17048355729893,15127684.170387251,140.0,0.0001,BRD,-0.07064261855402824,-0.3668763118912043,0.6581685487890797,0.262921522771129,16277574.6686924,-0.07074261855402825,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
14,2021-05-31,0.33306287648241,75199878.71203361,322.0,0.0001,BZRX,0.0732318297201538,-0.5452833867161913,,-0.17693070815907763,69347695.73232383,0.0731318297201538,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
15,2021-05-31,0.04111663222299,230302713.32483184,894.0,0.0001,CELR,-0.07561613802897187,-0.15448423224761185,13.329399728378723,-0.2883115971814165,248382208.09959286,-0.07571613802897187,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
16,2021-05-31,0.77844006927527,778440069.27527,501.0,0.0001,CHSB,-0.00289970228466933,-0.2692977157127482,13.87226757023703,0.1503789631971335,780703878.09423,-0.0029997022846693297,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
17,2021-05-31,388.00202466900646,2028008119.1134174,7414.0,0.0001,COMP,-0.040087173356907355,-0.40895827813194496,,0.13320586590133132,2106685493.0068593,-0.04018717335690736,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
18,2021-05-31,170.41603283961692,105040693.48961739,477.0,0.0001,CREAM,0.3754528825221317,-0.09649628311394921,,-0.09652156699062253,76368078.34304513,0.3753528825221317,0.04155286970295008,0.03658920971957002,0.08183506084530154,-0.10823980829571414,0.0072739458345816785
